UPM;NVIVI;NHOGA;TRIMESTRE;RONDA;ANIO;AREA;ESTGEO;L02;P02;P03;P06;P09;A01;A01A;A02;A03;A04;A04B;A04A;A05;A06;A06E;A07;A08;A09;A09E;A10;A11A;A11M;A11S;A12;A13REC;A14REC;A15;A16;A17A;A17M;A17S;A18;B01REC;B02REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B04;B05;B06;B07A;B07M;B07S;B08;B09A;B09M;B09S;B10;B11;B12;B13;B14;B15;B16G;B16U;B16D;B16T;B17;B18AG;B18AU;B18BG;B18BU;B19;B20G;B20U;B20D;B20T;B21;B22;B23;B24;B25;B26;B271;B272;B28;B29;B30;B31;C01REC;C02REC;C03;C04;C05;C06;C07;C08;C09;C101;C102;C11G;C11U;C11D;C11T;C12;C13AG;C13AU;C13BG;C13BU;C14;C14A;C14B;C14C;C15;C16REC;C17REC;C18;C18A;C18B;C19;D01;D02;D03;D04;D05;CATE_PEA;TAMA_PEA;OCUP_PEA;RAMA_PEA;HORAB;HORABC;HORABCO;PEAD;PEAD_1;PEAA;factor;añoest;Informalidad;E01AIMDE;E01BIMDE;E01CIMDE;E01DDE;E01EDE;E01FDE;E01GDE;E01HDE;E01IDE;E01JDE;E01KDE;E01LDE;E01MDE;E01KJDE
18860;18;1;10;2;2024;6;106;1;53;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;10;10;10;0;10;10;2;3;6;62;43;0;0;1;29;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;4;1;6;1;62;62;62;1;1;1;293;2; ;232456666,667;0;0;0;0;0;0;0;0;0;0;0;0;0
18860;12;1;10;2;2024;6;106;1;56;1;1;1;1; ;1; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;0;0;0;0;10;0;0;3;9;50;43;0;0;2;34;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;1;1;8;10;1; ;5;6; ;1; ; ;3000000;5; ;3000000;6; ; ; ; ;3; ; ; ;0; ; ; ; ; ; ;6; ;6; ; ;3;2;6;1;50;60;60;1;1;1;308;6; ;91197416,667;3000000;0;0;0;0;0;0;0;0;0;0;0;0
11593;24;1;10;1;2024;6;76;1;59;1;1;1;6;2;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;10;10;10;10;10;5;0;1; ; ;49;0;0;2;36;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;2;6;1;55;55;55;1;1;1;253;9; ;63487068,966;0;0;0;1003748,126;0;0;0;0;0;0;0;0;0
26974;26;1;10;1;2024;6;136;1;35;1;6;5;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;12;12;12;12;12;12;12;1; ; ;3;0;0;2;3;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;2;5;5;84;84;84;1;1;1;69;12;2;60000000;0;0;0;0;0;0;0;0;0;0;0;0;0
27434;7;1;10;1;2024;6;146;1;67;1;1;4;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;12;12;12;12;12;12;12;1; ; ;48;0;0;2;48;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;2;6;1;84;84;84;1;1;1;281;3; ;51103326,462;0;0;0;0;0;0;0;0;0;0;0;0;0
1330;29;1;10;2;2024;1;1;1;55;1;6;3;6;2;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;7;11;11;11;11;11;0;0;1; ; ;6;0;0;11;33;0;0;1;3;2;30;2;4;40000000;5; ;40000000;1;10000000;5;0; ;6; ; ; ; ;6; ; ;1;110000;3; ; ;1;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;11;1;7;55;55;55;1;1;1;124;17;2;50187406,297;0;0;3613493,253;0;0;0;0;0;0;0;0;0;0
27881;16;1;10;1;2024;1;141;1;44;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;7;8;8;8;8;8;0;0;1; ; ;20;0;0;3;20;0;0;1;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;3;2;7;40;40;40;1;1;1;304;16;2;50000000;0;0;0;0;0;0;0;0;0;0;0;0;0
11593;17;1;10;2;2024;6;76;2;50;2;6;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;4;4;4;4;4;4;1;1; ; ;12;0;0;2;12;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;2;6;1;25;25;25;1;1;1;199;17; ;48995455,397;0;0;0;0;0;0;0;0;0;0;0;0;0
27889;12;1;10;2;2024;6;146;1;47;1;1;1;6;2;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;10;10;10;10;10;0;0;1; ; ;30;0;0;2;26;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;4;2;6;1;50;50;50;1;1;1;373;6; ;48368814,418;0;0;0;0;0;0;0;0;0;0;0;0;0
11593;19;1;10;1;2024;6;76;1;87;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;5;5;5;5;5;5;5;1; ; ;50;0;0;2;50;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;2;6;1;35;35;35;1;1;1;187;6; ;43511083,694;0;0;0;1003748,126;0;0;0;0;0;0;0;0;0
