UPM;NVIVI;NHOGA;TRIMESTRE;RONDA;ANIO;AREA;ESTGEO;L02;P02;P03;P06;P09;A01;A01A;A02;A03;A04;A04B;A04A;A05;A06;A06E;A07;A08;A09;A09E;A10;A11A;A11M;A11S;A12;A13REC;A14REC;A15;A16;A17A;A17M;A17S;A18;B01REC;B02REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B04;B05;B06;B07A;B07M;B07S;B08;B09A;B09M;B09S;B10;B11;B12;B13;B14;B15;B16G;B16U;B16D;B16T;B17;B18AG;B18AU;B18BG;B18BU;B19;B20G;B20U;B20D;B20T;B21;B22;B23;B24;B25;B26;B271;B272;B28;B29;B30;B31;C01REC;C02REC;C03;C04;C05;C06;C07;C08;C09;C101;C102;C11G;C11U;C11D;C11T;C12;C13AG;C13AU;C13BG;C13BU;C14;C14A;C14B;C14C;C15;C16REC;C17REC;C18;C18A;C18B;C19;D01;D02;D03;D04;D05;CATE_PEA;TAMA_PEA;OCUP_PEA;RAMA_PEA;HORAB;HORABC;HORABCO;PEAD;PEAD_1;PEAA;factor;Añoest;Informalidad;E01AIMDE;E01BIMDE;E01CIMDE;E01DDE;E01EDE;E01FDE;E01GDE;E01HDE;E01IDE;E01JDE;E01KDE;E01LDE;E01MDE;E01KJDE
30;8;1;12;2;2024;1;1;1;78;1;1;6;1; ;6;6;6; ; ;6;12;ES JUBILADO DEL EXTRANJERO; ; ; ; ; ; ; ; ;1;8;6;2;9;21;0;0;18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;527;6; ;0;0;0;2394618,834;0;0;0;0;0;0;0;0;13968609,865;0
30;12;1;12;1;2024;1;1;1;69;1;6;4;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;8;4;4;4;4;4;4;0;1; ; ;5;0;0;10;5;0;0;6; ;6;88;1;4;360000;3; ;1440000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;4; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;6;10;9;8;24;24;24;1;1;1;228;9;1;1436771,3;0;0;0;0;0;0;0;0;0;0;0;0;0
30;12;1;12;1;2024;1;1;2;74;9;1;5;6;1;6;6;6; ; ;6;9; ; ; ; ; ; ; ; ; ;1;7;8;1;11;10;0;0;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;228;6; ;0;0;0;0;0;0;0;2793721,973;0;0;0;0;0;0
30;16;1;12;2;2024;1;1;2;36;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;10;10;10;10;10;10;0;1; ; ;10;0;0;1;10;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;1; ;1;4;1;5;5;60;60;60;1;1;1;476;12;2;2993273,543;0;0;0;0;0;0;0;0;0;0;0;0;0
30;16;1;12;2;2024;1;1;3;36;2;6;1;6;2;6;6;6; ; ;6;11; ; ; ; ; ; ; ; ; ;1;3;7;4;1;0;2;0;14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;476;14; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;16;1;12;2;2024;1;1;4;6;3;6;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;476;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;17;1;12;1;2024;1;1;1;59;1;6;3;6;4;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;8;8;8;8;8;6;0;1; ; ;26;0;0;11;26;0;0;1;1;2;30;1;4;2700000;5; ;2700000;6; ; ; ; ;6; ; ; ; ;6; ; ;1;300000;1; ; ;1;3;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;11;5;5;46;46;46;1;1;1;360;12;2;2693946,188;0;0;0;0;0;0;0;0;0;0;0;0;0
30;17;1;12;1;2024;1;1;2;22;3;1;5;6;4;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;6;8;8;8;10;12;7;7;1; ; ;0;6;0;2;0;6;0;6; ;2;88;88;4;99999999999;5; ;99999999999;1;99999999999;5;0; ;6; ; ; ; ;6; ; ;6; ;4; ; ;6; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;2;8;6;60;60;60;1;1;1;360;9;1;3403833,057;0;0;0;0;0;0;0;0;0;0;0;0;0
30;17;1;12;1;2024;1;1;3;20;3;6;5;6;4;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;2;6;6;6;6;6;6;6;1; ; ;1;0;0;1;1;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;6; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;12;1; ;11;4;1;7;2;42;42;42;1;1;1;360;12;1;299327,354;0;0;0;0;0;0;0;0;0;0;0;0;0
30;17;1;12;1;2024;1;1;4;55;9;6;5;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;8;0;0;0;0;5;0;0;3;1;25;5;0;0;1;5;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ;6; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;4;1;9;8;25;25;25;1;1;1;360;9;1;448991,031;0;0;0;0;0;0;0;0;0;0;0;0;0
